                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                 0.2508,                0.33735,                      1,                0.70873,               0.055761,              0.0047614,              0.0047614
                      2,                0.21033,                0.51807,                      1,                0.66818,               0.032981,              0.0069814,              0.0069814
                      3,                0.13634,                0.55422,                      1,                 0.6097,                0.01006,              0.0090599,              0.0090599
                      4,                0.06916,                0.46988,                      1,                0.67071,              0.0088686,              0.0088686,              0.0088686
                      5,                0.06475,                0.56627,                      1,                0.63666,              0.0088686,              0.0088686,              0.0088686
                      6,                0.12169,                0.57831,                      1,                0.61717,              0.0085857,              0.0085857,              0.0085857
                      7,                0.09908,                0.60241,                      1,                0.59924,              0.0083029,              0.0083029,              0.0083029
                      8,                0.08618,                0.66265,                      1,                 0.5699,                0.00802,                0.00802,                0.00802
                      9,                0.05403,                 0.6747,                      1,                0.57859,              0.0077371,              0.0077371,              0.0077371
                     10,                0.02943,                 0.6506,                      1,                0.58272,              0.0074543,              0.0074543,              0.0074543
                     11,                0.01377,                0.78313,                      1,                0.52493,              0.0071714,              0.0071714,              0.0071714
                     12,                0.02007,                0.77108,                      1,                0.50511,              0.0068886,              0.0068886,              0.0068886
                     13,                0.01302,                0.72289,                      1,                 0.5092,              0.0066057,              0.0066057,              0.0066057
                     14,                0.01184,                0.75904,                      1,                0.50938,              0.0063229,              0.0063229,              0.0063229
                     15,                0.02608,                0.74699,                      1,                0.51137,                0.00604,                0.00604,                0.00604
                     16,                0.00944,                0.78313,                      1,                0.48134,              0.0057571,              0.0057571,              0.0057571
                     17,                0.01249,                0.78313,                      1,                0.49281,              0.0054743,              0.0054743,              0.0054743
                     18,                0.00555,                0.74699,                      1,                0.50429,              0.0051914,              0.0051914,              0.0051914
                     19,                 0.0122,                0.68675,                      1,                0.53055,              0.0049086,              0.0049086,              0.0049086
                     20,                0.01347,                0.75904,                      1,                 0.5244,              0.0046257,              0.0046257,              0.0046257
                     21,                0.00468,                0.74699,                      1,                 0.5172,              0.0043429,              0.0043429,              0.0043429
                     22,                0.00445,                0.74699,                      1,                 0.5183,                0.00406,                0.00406,                0.00406
                     23,                 0.0054,                0.73494,                      1,                 0.5163,              0.0037771,              0.0037771,              0.0037771
                     24,                0.00816,                0.77108,                      1,                0.50755,              0.0034943,              0.0034943,              0.0034943
                     25,                0.00446,                0.77108,                      1,                0.50683,              0.0032114,              0.0032114,              0.0032114
                     26,                0.00163,                0.79518,                      1,                 0.5077,              0.0029286,              0.0029286,              0.0029286
                     27,                0.00315,                0.78313,                      1,                0.50095,              0.0026457,              0.0026457,              0.0026457
                     28,                0.00235,                0.78313,                      1,                0.49957,              0.0023629,              0.0023629,              0.0023629
                     29,                0.00187,                0.78313,                      1,                 0.4957,                0.00208,                0.00208,                0.00208
                     30,                0.00225,                0.79518,                      1,                0.49389,              0.0017971,              0.0017971,              0.0017971
                     31,                0.00257,                0.80723,                      1,                0.49386,              0.0015143,              0.0015143,              0.0015143
                     32,                0.00151,                0.80723,                      1,                 0.4945,              0.0012314,              0.0012314,              0.0012314
                     33,                0.00223,                0.80723,                      1,                0.49272,             0.00094857,             0.00094857,             0.00094857
                     34,                0.00242,                0.80723,                      1,                0.49521,             0.00066571,             0.00066571,             0.00066571
